"icao","name","city","country","lat","lon","elev_ft","size","continent","runway_ft","paved"
"KBAM","Battle Mountain Airport","Battle Mountain","US","40.598999023400005","-116.874000549","4532","small_airport","NA","7300","1"
"KBAX","Huron County Memorial Airport","Bad Axe","US","43.780201","-82.985397","763","small_airport","NA","5000","1"
"KBAZ","New Braunfels National Airport","New Braunfels","US","29.7045","-98.042198","651","medium_airport","NA","6503","1"
"KBBB","Benson Municipal Airport","Benson","US","45.331902","-95.650597","1039","small_airport","NA","4000","1"
"KBBD","Curtis Field","Brady","US","31.178931","-99.324732","1827","medium_airport","NA","4605","1"
"KBBG","Branson Airport","Branson","US","36.532082","-93.200544","1302","medium_airport","NA","7140","1"
"KBBP","Marlboro County Jetport - H E Avent Field Airport","Bennettsville","US","34.6217","-79.734398","147","small_airport","NA","5003","1"
"KBBW","Broken Bow Municipal Airport","Broken Bow","US","41.4365005493","-99.6421966553","2547","small_airport","NA","4203","1"
"KBCB","Virginia Tech Montgomery Executive Airport","Blacksburg","US","37.207599639899996","-80.4077987671","2132","small_airport","NA","5501","1"
"KBCE","Bryce Canyon Airport","Bryce Canyon","US","37.706401825","-112.144996643","7590","medium_airport","NA","7395","1"
"KBCK","Black River Falls Area Airport","Black River Falls","US","44.250702","-90.855301","836","small_airport","NA","4601","1"
"KBCT","Boca Raton Airport","Boca Raton","US","26.3785","-80.107697","13","medium_airport","NA","6276","1"
"KBDE","Baudette International Airport","Baudette","US","48.728401","-94.612198","1086","medium_airport","NA","6000","0"
"KBDG","Blanding Municipal Airport","Blanding","US","37.58330154","-109.4830017","5868","small_airport","NA","5781","1"
"KBDH","Willmar Municipal Airport John L Rice Field (2006)","Willmar","US","45.117552","-95.132259","1126","small_airport","NA","5500","1"
"KBDJ","Boulder Junction Payzer Airport","Boulder Junction","US","46.1374015808","-89.64600372310001","1666","small_airport","NA","3821","0"
"KBDL","Bradley International Airport","Hartford","US","41.938555","-72.688016","173","large_airport","NA","9510","1"
"KBDN","Bend Municipal Airport","Bend","US","44.09479904","-121.2009964","3460","small_airport","NA","5201","1"
"KBDQ","Morrilton Municipal Airport","Morrilton","US","35.1362","-92.713501","321","small_airport","NA","3998","1"
"KBDR","Igor I Sikorsky Memorial Airport","Bridgeport","US","41.163502","-73.126198","9","medium_airport","NA","4759","1"
"KBDU","Boulder Municipal Airport","Boulder","US","40.039101","-105.226025","5288","small_airport","NA","4100","1"
"KBEA","Beeville Municipal Airport","Beeville","US","28.361900329589844","-97.79100036621094","268","small_airport","NA","4553","1"
"KBEC","Beech Factory Airport","Wichita","US","37.694499969499994","-97.21499633790002","1408","small_airport","NA","8001","1"
"KBED","Laurence G Hanscom Field","Bedford","US","42.470001","-71.289001","133","medium_airport","NA","7011","1"
"KBEH","Southwest Michigan Regional Airport","Benton Harbor","US","42.128601074200006","-86.4284973145","643","small_airport","NA","6006","1"
"KBFA","Boyne Mountain Airport","Boyne Falls","US","45.165798","-84.924103","719","small_airport","NA","5187","1"
"KBFD","Bradford Regional Airport","Bradford","US","41.8031005859375","-78.64009857177734","2143","medium_airport","NA","6307","1"
"KBFE","Terry County Airport","Brownfield","US","33.173099517822266","-102.19300079345703","3264","small_airport","NA","5218","1"
"KBFF","Western Neb. Rgnl/William B. Heilig Airport","Scottsbluff","US","41.87400055","-103.5960007","3967","medium_airport","NA","8279","1"
"KBFI","King County International Airport - Boeing Field","Seattle","US","47.527042","-122.29995","21","medium_airport","NA","10007","1"
"KBFK","Buffalo Municipal Airport","Buffalo","US","36.863300323486","-99.618698120117","1822","small_airport","NA","4000","1"
"KBFL","Meadows Field","Bakersfield","US","35.433601","-119.056999","510","medium_airport","NA","10849","1"
"KBFM","Mobile Downtown Airport","Mobile","US","30.626800537100003","-88.06809997559999","26","medium_airport","NA","9618","1"
"KBFR","Virgil I Grissom Municipal Airport","Bedford","US","38.84000015","-86.44539642","727","small_airport","NA","4501","1"
"KBGD","Hutchinson County Airport","Borger","US","35.700901031499995","-101.393997192","3055","small_airport","NA","6299","1"
"KBGE","Decatur County Industrial Air Park","Bainbridge","US","30.9715004","-84.63739777","141","small_airport","NA","5502","1"
"KBGF","Winchester Municipal Airport","Winchester","US","35.177502","-86.0662","979","small_airport","NA","5003","1"
"KBGM","Greater Binghamton/Edwin A Link field","Binghamton","US","42.20869827","-75.97979736","1636","medium_airport","NA","7305","1"
"KBGR","Bangor International Airport","Bangor","US","44.806364","-68.826668","192","medium_airport","NA","11440","1"
"KBHB","Hancock County-Bar Harbor Airport","Bar Harbor","US","44.45000076","-68.3615036","83","medium_airport","NA","5200","1"
"KBHC","Baxley Municipal Airport","Baxley","US","31.7138","-82.393799","201","small_airport","NA","5003","1"
"KBHK","Baker Municipal Airport","Baker","US","46.34661","-104.258126","2975","small_airport","NA","5904","1"
"KBHM","Birmingham-Shuttlesworth International Airport","Birmingham","US","33.562877","-86.750712","650","large_airport","NA","12007","1"
"KBIE","Beatrice Municipal Airport","Beatrice","US","40.3013","-96.754097","1324","small_airport","NA","5602","1"
"KBIF","Biggs Army Air Field (Fort Bliss)","Fort Bliss/El Paso","US","31.84950066","-106.3799973","3946","medium_airport","NA","13554","1"
"KBIH","Eastern Sierra Regional Airport","Bishop","US","37.3731","-118.363998","4124","medium_airport","NA","7498","1"
"KBIJ","Early County Airport","Blakely","US","31.397499084472656","-84.8947982788086","214","small_airport","NA","5494","1"
"KBIL","Billings Logan International Airport","Billings","US","45.808932","-108.541242","3652","medium_airport","NA","10518","1"
"KBIS","Bismarck Municipal Airport","Bismarck","US","46.772734","-100.746874","1661","medium_airport","NA","8794","1"
"KBIV","West Michigan Regional Airport","Holland","US","42.742901","-86.107399","698","small_airport","NA","6002","1"
"KBIX","Keesler Air Force Base","Biloxi","US","30.4104003906","-88.92440032959999","33","medium_airport","NA","7630","1"
"KBJC","Rocky Mountain Metropolitan Airport","Denver","US","39.908798","-105.116997","5673","medium_airport","NA","9000","1"
"KBJI","Bemidji Regional Airport","Bemidji","US","47.50939941","-94.93370056","1391","medium_airport","NA","7004","1"
"KBJJ","Wayne County Airport","Wooster","US","40.874801635699995","-81.88829803470001","1136","small_airport","NA","5190","1"
"KBKD","Stephens County Airport","Breckenridge","US","32.71900177","-98.89099884030001","1284","small_airport","NA","5002","1"
"KBKE","Baker City Municipal Airport","Baker City","US","44.837299346900004","-117.808998108","3373","medium_airport","NA","5084","1"
"KBKF","Buckley Space Force Base","Aurora","US","39.701698","-104.751999","5662","medium_airport","NA","11006","1"
"KBKL","Burke Lakefront Airport","Cleveland","US","41.51750183105469","-81.68329620361328","583","medium_airport","NA","6604","1"
"KBKN","Blackwell Tonkawa Municipal Airport","Blackwell","US","36.745212","-97.349619","1030","small_airport","NA","3501","1"
"KBKS","Brooks County Airport","Falfurrias","US","27.20680046","-98.12120056","113","small_airport","NA","6006","1"
"KBKT","Allen C Perkinson Blackstone Army Air Field","Blackstone","US","37.0741996765","-77.9574966431","439","small_airport","NA","5333","1"
"KBKV","Brooksville?Tampa Bay Regional Airport","Brooksville","US","28.469461","-82.457114","76","small_airport","NA","7001","1"
"KBKW","Raleigh County Memorial Airport","Beaver","US","37.7873","-81.124199","2504","medium_airport","NA","6750","1"
"KBKX","Brookings Regional Airport","Brookings","US","44.304798","-96.816902","1648","small_airport","NA","6000","1"
"KBLF","Mercer County Airport","Bluefield","US","37.295799","-81.207703","2857","medium_airport","NA","4743","1"
"KBLH","Blythe Airport","Blythe","US","33.6192016602","-114.717002869","399","medium_airport","NA","6543","1"
"KBLI","Bellingham International Airport","Bellingham","US","48.79280090332031","-122.53800201416016","170","medium_airport","NA","6700","1"
"KBLM","Monmouth Executive Airport","Belmar/Farmingdale","US","40.18690109","-74.12490082","153","small_airport","NA","7345","1"
"KBLU","Blue Canyon Nyack Airport","Emigrant Gap","US","39.2750015259","-120.709999084","5284","small_airport","NA","3300","1"
"KBLV","Scott AFB/Midamerica Airport","Belleville","US","38.5452","-89.835197","459","medium_airport","NA","10000","1"
"KBMC","Brigham City Regional Airport","Brigham City","US","41.552399","-112.061996","4229","small_airport","NA","8900","1"
"KBMG","Monroe County Airport","Bloomington","US","39.145999908447266","-86.61669921875","846","medium_airport","NA","6500","1"
"KBMI","Central Illinois Regional Airport at Bloomington-Normal","Bloomington/Normal","US","40.4771","-88.915901","871","medium_airport","NA","8000","1"
"KBML","Berlin Regional Airport","Berlin","US","44.57540131","-71.17590332","1161","small_airport","NA","5200","1"
"KBMQ","Burnet Municipal Airport/Kate Craddock Field","Burnet","US","30.738899","-98.238602","1284","small_airport","NA","5001","1"
"KBMT","Beaumont Municipal Airport","Beaumont","US","30.070635","-94.215746","32","small_airport","NA","4001","1"
"KBNA","Nashville International Airport","Nashville","US","36.1245","-86.6782","599","large_airport","NA","11030","1"
"KBNG","Banning Municipal Airport","Banning","US","33.922548","-116.850672","2219","small_airport","NA","4955","1"
"KBNL","Barnwell Regional Airport","Barnwell","US","33.25780106","-81.38829803","246","small_airport","NA","5119","1"
"KBNO","Burns Municipal Airport","Burns","US","43.590463","-118.955154","4148","medium_airport","NA","5101","1"
"KBNW","Boone Municipal Airport","Boone","US","42.049599","-93.847603","1160","small_airport","NA","4808","1"
"KBOI","Boise Air Terminal/Gowen Field","Boise","US","43.5644","-116.223","2871","large_airport","NA","10000","1"
"KBOS","Boston Logan International Airport","Boston","US","42.36197","-71.0079","20","large_airport","NA","10083","1"
"KBOW","Bartow Executive Airport","Bartow","US","27.943399","-81.783401","125","small_airport","NA","5001","1"
"KBPG","Big Spring Mc Mahon-Wrinkle Airport","Big Spring","US","32.212601","-101.522003","2573","small_airport","NA","8803","1"
"KBPI","Miley Memorial Field","Big Piney","US","42.58509827","-110.1110001","6990","medium_airport","NA","6803","1"
"KBPK","Ozark Regional Airport","Mountain Home","US","36.3689002991","-92.47049713130001","928","medium_airport","NA","5000","1"
"KBPT","Jack Brooks Regional Airport","Beaumont/Port Arthur","US","29.9508","-94.020699","15","medium_airport","NA","6751","1"
"KBQK","Brunswick Golden Isles Airport","Brunswick","US","31.258801","-81.466499","26","medium_airport","NA","8001","1"
"KBQP","Morehouse Memorial Airport","Bastrop","US","32.756","-91.880556","168","small_airport","NA","4002","1"
"KBQR","Buffalo Lancaster Regional Airport","Lancaster","US","42.922298","-78.612297","750","small_airport","NA","3199","1"
"KBRD","Brainerd Lakes Regional Airport","Brainerd","US","46.402861","-94.129727","1232","medium_airport","NA","7100","1"
"KBRL","Southeast Iowa Regional Airport","Burlington","US","40.783199310302734","-91.12550354003906","698","medium_airport","NA","6102","1"
"KBRO","Brownsville South Padre Island International Airport","Brownsville","US","25.907238","-97.425235","22","medium_airport","NA","7399","1"
"KBRY","Samuels Field","Bardstown","US","37.8143005371","-85.4996032715","669","small_airport","NA","5003","1"
"KBST","Belfast Municipal Airport","Belfast","US","44.409401","-69.011902","198","small_airport","NA","4000","1"
"KBTA","Blair Executive Airport","Blair","US","41.414908","-96.109136","1325","small_airport","NA","4201","1"
"KBTF","Skypark Airport","Bountiful","US","40.8694000244","-111.927001953","4234","small_airport","NA","4634","1"
"KBTL","Battle Creek Executive Airport at Kellogg Field","Battle Creek","US","42.307301","-85.251503","952","medium_airport","NA","10004","1"
"KBTM","Bert Mooney Airport","Butte","US","45.95479965209961","-112.49700164794922","5550","medium_airport","NA","9000","1"
"KBTN","Britton Municipal Airport","Britton","US","45.815200805664","-97.743103027344","1318","small_airport","NA","4210","1"
"KBTP","Pittsburgh/Butler Regional Airport","Butler","US","40.776901","-79.949699","1248","small_airport","NA","4801","1"
"KBTR","Baton Rouge Metropolitan Airport","Baton Rouge","US","30.533199","-91.149597","70","medium_airport","NA","7500","1"
"KBTV","Patrick Leahy Burlington International Airport","Burlington","US","44.471901","-73.153297","335","medium_airport","NA","8319","1"
"KBTY","Beatty Airport","Beatty","US","36.8610992432","-116.787002563","3170","small_airport","NA","5615","1"
"KBUB","Cram Field","Burwell","US","41.776699066199996","-99.14969635010002","2182","small_airport","NA","3900","1"
"KBUF","Buffalo Niagara International Airport","Buffalo","US","42.940498","-78.732201","728","large_airport","NA","8829","1"
"KBUM","Butler Memorial Airport","Butler","US","38.2897987366","-94.3401031494","892","small_airport","NA","3999","1"
"KBUR","Hollywood Burbank/Bob Hope Airport","Burbank","US","34.202834","-118.35805","778","large_airport","NA","6886","1"
"KBUU","Burlington Municipal Airport","Burlington","US","42.69070053100586","-88.30460357666016","779","small_airport","NA","4300","1"
"KBUY","Burlington Alamance Regional Airport","Burlington","US","36.048500061035156","-79.47489929199219","617","small_airport","NA","6406","1"
"KBVI","Beaver County Airport","Beaver Falls","US","40.772499","-80.391403","1253","medium_airport","NA","4501","1"
"KBVN","Albion Municipal Airport","Albion","US","41.7286","-98.055801","1806","small_airport","NA","3700","1"
"KBVO","Bartlesville Municipal Airport","Bartlesville","US","36.762501","-96.0112","711","small_airport","NA","6850","1"
"KBVS","Skagit Regional Airport","Burlington","US","48.470901","-122.420998","144","small_airport","NA","5480","1"
"KBVX","Batesville Regional Airport","Batesville","US","35.7262","-91.647301","465","small_airport","NA","6002","1"
"KBVY","Beverly Regional Airport","Beverly / Danvers","US","42.584202","-70.916496","107","medium_airport","NA","5001","1"
"KBWC","Brawley Municipal Airport","Brawley","US","32.99290085","-115.5169983","-128","small_airport","NA","4166","1"
"KBWD","Brownwood Regional Airport","Brownwood","US","31.793600082399998","-98.9564971924","1387","small_airport","NA","5599","1"
